"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"B3GNTL1",166.127405921615,-0.716664944541644,0.265857140546347,-2.69567687017497,0.00702457733935043,0.0216036425345463
"GPRASP2",375.674092043132,0.526390978577826,0.195333314121225,2.69483462637174,0.00704235738118667,0.0216543004594839
"RASAL1",27.8905902878488,-1.67313424586295,0.620896999912191,-2.69470499309801,0.0070450975676783,0.0216587026263394
"LINC00622",7.66691245851379,3.94191525396902,1.46287705330558,2.69463195492861,0.00704664186921646,0.021659427338769
"FOXS1",42.3065781876145,1.32387881163739,0.49140090573159,2.69409111012204,0.00705808682469499,0.0216905780026646
"TRAPPC9",411.419356746357,0.527989718658999,0.195988083308706,2.69398888822923,0.0070602518428815,0.0216932037318312
"NCAM2",18.8282025421329,-2.02269195000252,0.750903523982976,-2.69367753033528,0.00706684995145289,0.0217094469926593
"RHCG",17.152066183873,-2.13115505842674,0.791424507558311,-2.69280902735973,0.00708528401395447,0.0217620376691361
"TMEM242",522.486924542202,0.471169011364338,0.174989347347688,2.6925582528642,0.00709061475457629,0.0217743702073742
"TALDO1",1888.10760143692,0.373661004755668,0.13878669382211,2.69234027027554,0.00709525135920712,0.0217845669630117
"OXTR",80.7936838820384,-0.992170521986925,0.368610174477688,-2.69165256600095,0.00710989703793977,0.021825485120916
"CACHD1",32.7462401721857,1.49035385177519,0.553764885789993,2.69131158370411,0.00711716881979477,0.021843756407425
"TTC31",457.002254395645,0.479346865736391,0.178127726417751,2.69102893399207,0.00712320166264899,0.0218582191175688
"MIR6807",899.162916754152,-0.430877281432933,0.160171893472343,-2.6900929500926,0.00714321198101045,0.02191555972376
"FAM160B2",872.941288859947,0.409497902731657,0.152249783828621,2.68964521613118,0.00715280187732679,0.0219368494855499
"PLEKHF1",641.591669410094,-0.491155253482509,0.182606317473181,-2.68969475031796,0.00715174034929259,0.0219368494855499
"DIAPH1",4356.13407623258,0.320046411497906,0.119009777879678,2.68924467552139,0.00716139074398393,0.021959121821864
"RAB32",1142.39667026193,0.421829564042909,0.156869724001157,2.68904383384901,0.00716570091311377,0.0219682684782106
"ANKRD17",2430.87176534553,-0.346127055408061,0.128723203441842,-2.68892512113748,0.00716824964586757,0.0219720126182222
"NFIX",88.4829384388963,-0.939065294090429,0.34927843929638,-2.68858649271959,0.00717552438661449,0.0219902387793451
"FXYD3",7.38948844950739,3.89454801569689,1.44898237218886,2.68778150131234,0.00719284459297613,0.0220392380049872
"RASSF8-AS1",58.8327570698628,1.13934967556743,0.423921993152571,2.68763992897479,0.00719589454241858,0.0220445023997987
"CRNN",6.8822046938692,4.83301099517404,1.79835774552832,2.68745804731649,0.00719981459520867,0.0220496817368604
"SBF2",735.159774384441,-0.42884705973478,0.159574687802956,-2.6874378740087,0.00720024950385033,0.0220496817368604
"SLC7A5",5453.77150731496,-0.396925587441663,0.147703503826143,-2.68731328072537,0.00720293608544687,0.0220538287248089
"KIAA1279",917.934587397397,0.393292101427103,0.146364538571799,2.68707232820725,0.00720813425197187,0.022065662685156
"ATP11B",754.87778696194,0.414011782769986,0.154134622262647,2.68604014265209,0.00723044013489055,0.0221298530164032
"PDE4DIP",1172.80408846724,-0.398278446359658,0.14828703626839,-2.68586153167698,0.00723430626031473,0.022133500410486
"THEM6",136.995457598519,0.757604414449738,0.282065985792131,2.68591199439431,0.00723321378113649,0.022133500410486
"CBLC",11.8267919346306,-2.68280746923171,0.998901750509622,-2.68575710059872,0.00723656758350527,0.02213632723012
"LOC102723824",18.0786580896585,-2.08155873462496,0.775208788226654,-2.68515884525339,0.0072495342784074,0.0221718941936806
"LOC105274304",19.5633172746879,1.98205965196215,0.738682845816915,2.68323498127288,0.00729137390948284,0.0222957363661112
"SPTLC1",1920.99749549288,-0.45192307047511,0.168431894338121,-2.68312051141508,0.00729387018238213,0.0222992499554468
"HIST1H2BO",39.7267223318287,-1.35800043284087,0.506242336407752,-2.68251059853492,0.00730718363794111,0.0223358270683659
"MORN1",205.642641999487,-0.689447073047184,0.257036439632021,-2.68229311779377,0.00731193617738704,0.0223462274017929
"CDT1",1176.82356827277,-0.378306451283011,0.141042384430456,-2.68221820561706,0.00731357385210628,0.0223471062211673
"E2F7",363.064117686962,-0.583721867643336,0.2176453288783,-2.68198665531542,0.00731863791484073,0.0223584523378449
"NFKB1",644.203295517859,0.448335903505055,0.167229159330439,2.68096727448805,0.00734096945974703,0.0224225367222242
"PPIA",27249.0574312358,-0.309503605948594,0.115534338678908,-2.678888454183,0.00738669966071152,0.0225580540192061
"UBE2V2",1667.57591301743,-0.415303906529454,0.155046381168608,-2.6785785221122,0.00739353943866956,0.0225747767550007
"LOC441666",171.642007264087,-0.719800839520641,0.268738381509009,-2.67844449861923,0.00739649891341476,0.0225796477342016
"BEST3",6.85688257741598,4.82819164436219,1.80305498906763,2.67778391321214,0.00741110133434252,0.0226200533442813
"POGK",1326.52337336657,-0.436760883647705,0.163131281452877,-2.67735825868486,0.00742052423797391,0.0226446381244366
"CFAP20",841.838458938958,-0.431617679282052,0.161226997986228,-2.67708066684292,0.00742667519990804,0.0226592309509452
"TNFAIP8L1",455.378266228275,-0.502939727286496,0.187900465433878,-2.67662842731744,0.00743670585115601,0.0226856533815581
"GAS2L3",132.059336075748,0.855149593112396,0.319508950527089,2.67644956957127,0.00744067625941821,0.022690319632759
"SIGLEC10",48.0472229424081,-1.23608321612162,0.461839255262818,-2.67643601542316,0.00744097722127934,0.022690319632759
"KDM4C",381.463910486582,0.503440201344688,0.188143244806493,2.67583458477332,0.00745434262961072,0.0227268887834438
"MIR181A2HG",32.983445035972,-1.52030524289637,0.568177385461845,-2.67575810265765,0.00745604381031822,0.0227278889776035
"SLC26A11",415.634388091098,0.500616557630373,0.187191370686505,2.67435702721986,0.00748726940352211,0.0228188700362913
"MYH6",7.32157111155893,4.93395298873307,1.84521595392429,2.67391628510465,0.00749711638737876,0.0228446742348846
"SNX7",220.125634269018,0.635555979762366,0.237743276719747,2.67328686864008,0.00751119883533803,0.0228833725607427
"TRMT5",1265.6806129272,-0.380087391448197,0.142183773140393,-2.67321216094678,0.00751287190530227,0.0228842575959814
"ATP6V1C2",4029.86997961926,0.370465931475479,0.138590432230417,2.67309889660746,0.00751540908417308,0.0228877739027107
"ENDOG",664.04710936635,-0.427132464751652,0.159812750737838,-2.67270579337148,0.0075242207585704,0.022910394038973
"FAM86C1",489.497868963043,-0.535736198403153,0.200460593785213,-2.67252624711456,0.00752824849014678,0.0229184419733143
"KIAA0907",1424.98763345176,-0.397384232933673,0.148710645096001,-2.67219762698991,0.00753562537882213,0.0229324639217253
"ZBED3",78.4848851618597,-0.966651033139731,0.361741109489152,-2.6722178037902,0.00753517226183907,0.0229324639217253
"CAPN2",5475.52729320416,0.308252083651024,0.115364572348976,2.67198219847396,0.00754046485046655,0.0229429731994343
"ARMCX5",339.033797025807,-0.529828249044352,0.198335818837062,-2.67136945888538,0.00755424491443294,0.0229806766814361
"LOXL3",668.238513003427,0.440024801824347,0.164723525611752,2.6712930055994,0.00755596587617378,0.0229809814285931
"SBSN",31.7195766126075,-1.51136284112824,0.565790383200997,-2.67124165769238,0.00755712191371629,0.0229809814285931
"BRI3BP",194.43529116253,-0.725944564598044,0.271807906242511,-2.67080003166039,0.00756707115169646,0.0229953799185028
"KIAA2012",6.9084229024753,4.84437052664115,1.81387967040103,2.67072320490262,0.00756880315345596,0.0229953799185028
"MGLL",6.9084229024753,4.84437052664115,1.81387967040103,2.67072320490262,0.00756880315345596,0.0229953799185028
"PTPN12",1256.44279585834,-0.392017280825905,0.14677758230854,-2.67082530356611,0.00756650149316922,0.0229953799185028
"XPO1",6533.33587882305,-0.323274503322559,0.121034125350144,-2.67093683196658,0.00756398797085285,0.0229953799185028
"SCARB1",4684.68015260867,0.317658095460026,0.118980972118982,2.66982265989864,0.00758913178326276,0.0230529104930382
"VTN",600.558189718754,0.49460199718554,0.185271258353762,2.66960996314459,0.00759394027529573,0.0230590532813603
"ZNF331",587.830297736842,-0.501215248709051,0.187744418919911,-2.6696679006094,0.00759263019704239,0.0230590532813603
"ACOX1",954.095396225541,-0.414541748385886,0.155384455685202,-2.66784567708445,0.00763393136778221,0.0231762347761429
"MTBP",167.441279529675,-0.700779677720675,0.2627621715816,-2.66697323097381,0.00765377678542846,0.0232322232445281
"MYNN",422.348946438361,-0.487416278465497,0.182768835434324,-2.66684567589011,0.00765668213563315,0.0232335312611507
